          Index              t             Ts          Value
                           [s]           [°C]           [mW]
            631            631        265.848     -0.0332465
            632            632         266.35     -0.0298805
            633            633        266.851     -0.0254583
            634            634        267.353     -0.0210042
            635            635        267.855     -0.0156894
            636            636        268.357    -0.00967836
            637            637        268.859    -0.00516224
            638            638         269.36    -0.00147247
            639            639        269.862              0
            640            640        270.363              0
            641            641        270.865              0
            642            642        271.366              0
            643            643        271.867              0
            644            644        272.367              0
            645            645        272.868              0
            646            646        273.367              0
            647            647        273.867              0
            648            648        274.366              0
            649            649        274.864              0
            650            650        275.362              0
            651            651        275.859              0
            652            652        276.356              0
            653            653        276.852              0
            654            654        277.346              0
            655            655         277.84              0
            656            656        278.333              0
            657            657        278.825              0
            658            658        279.316              0
            659            659        279.805              0
            660            660        280.293              0
            661            661         280.78              0
            662            662        281.266              0
            663            663        281.749              0
            664            664        282.232              0
            665            665        282.714              0
            666            666        283.193              0
            667            667         283.67              0
            668            668        284.146              0
            669            669        284.621              0
            670            670        285.093              0
            671            671        285.564              0
            672            672        286.034              0
            673            673        286.504              0
            674            674        286.974              0
            675            675        287.445              0
            676            676        287.917              0
            677            677        288.391              0
            678            678        288.868              0
            679            679        289.348              0
            680            680         289.83              0
            681            681        290.315              0
            682            682        290.805              0
            683            683        291.297              0
            684            684        291.791              0
            685            685        292.288              0
            686            686        292.788              0
            687            687        293.289              0
            688            688        293.793              0
            689            689        294.298              0
            690            690        294.805              0
            691            691        295.313              0
            692            692        295.822              0
            693            693        296.332              0
            694            694        296.844              0
            695            695        297.356              0
            696            696        297.869              0
            697            697        298.383              0
            698            698        298.898              0
            699            699        299.413              0
            700            700         299.93              0
            701            701        300.446              0
            702            702        300.964              0
            703            703        301.482              0
            704            704            302              0
            705            705        302.519              0
            706            706        303.039              0
            707            707         303.56              0
            708            708         304.08              0
            709            709        304.602              0
            710            710        305.123              0
            711            711        305.645              0
            712            712        306.168              0
            713            713        306.691              0
            714            714        307.214              0
            715            715        307.737              0
            716            716        308.261              0
            717            717        308.785              0
            718            718        309.309              0
            719            719        309.834              0
            720            720        310.358              0
            721            721        310.883              0
            722            722        311.407              0
            723            723        311.931              0
            724            724        312.454              0
            725            725        312.978              0
            726            726        313.501              0
            727            727        314.023              0
            728            728        314.545              0
            729            729        315.066              0
            730            730        315.586              0
            731            731        316.106              0
            732            732        316.625              0
            733            733        317.142              0
            734            734        317.658              0
            735            735        318.163              0
            736            736        318.664              0
            737            737        319.166              0
            738            738        319.669              0
            739            739        320.166              0
            740            740        320.659              0
            741            741        321.145              0
            742            742        321.618              0
            743            743        322.066              0
            744            744        322.518              0
            745            745        322.962              0
            746            746        323.395              0
            747            747        323.827              0
            748            748        324.274              0
            749            749        324.743              0
            750            750        325.221              0
            751            751        325.726              0
            752            752        326.239              0
            753            753        326.757              0
            754            754        327.277              0
            755            755          327.8              0
            756            756        328.322              0
            757            757        328.844              0
            758            758        329.365              0
            759            759        329.883              0
            760            760          330.4              0
            761            761        330.916              0
            762            762        331.433              0
            763            763         331.95              0
            764            764        332.465              0
            765            765        332.979              0
            766            766        333.492              0
            767            767        334.004              0
            768            768        334.515              0
            769            769        335.025              0
            770            770        335.534              0
            771            771        336.044              0
            772            772        336.553              0
            773            773        337.061              0
            774            774        337.569              0
            775            775        338.076              0
            776            776        338.583              0
            777            777        339.089              0
            778            778        339.594              0
            779            779        340.098              0
            780            780        340.602              0
            781            781        341.105              0
            782            782        341.608              0
            783            783         342.11              0
            784            784        342.612              0
            785            785        343.113              0
            786            786        343.613              0
            787            787        344.112              0
            788            788        344.611              0
            789            789        345.109              0
            790            790        345.602              0
            791            791        346.087              0
            792            792         346.57              0
            793            793        347.053              0
            794            794        347.527              0
            795            795        347.996              0
            796            796        348.471              0
            797            797        348.955              0
            798            798        349.446              0
            799            799         349.94              0
            800            800        350.435              0
